Time,Money,Currency
2015-03-31,1187,1
2015-04-30,1180,1
2015-05-29,1191,1
2015-06-30,1171,1
2015-07-31,1098,1
2015-08-31,1135,1
2015-09-30,1114,1
2015-10-30,1142,1
2015-11-30,1062,1
2015-12-31,1060,1
2016-01-29,1112,1
2001-01-31,284,2
2001-02-28,290,2
2001-03-30,292,2
2001-04-30,297,2
2001-05-31,316,2
2001-06-29,320,2
2001-07-31,304,2
2001-08-31,301,2
2001-09-28,322,2
2001-10-31,309,2
2001-11-30,308,2
2001-12-31,311,2
2002-01-31,328,2
2002-02-28,343,2
2002-03-29,345,2
2002-04-30,342,2
2002-05-31,350,2
2002-06-28,323,2
2002-07-31,311,2
2002-08-30,319,2
2002-09-30,328,2
2002-10-31,320,2
2002-11-29,321,2
2002-12-31,331,2
2003-01-31,342,2
2003-02-28,322,2
2003-03-31,307,2
2003-04-30,302,2
2003-05-30,307,2
2003-06-30,301,2
2003-07-31,315,2
2003-08-29,342,2
2003-09-30,333,2
2003-10-31,332,2
2003-11-28,332,2
2003-12-31,330,2
2004-01-30,322,2
2004-02-27,319,2
2004-03-31,345,2
2004-04-30,324,2
2004-05-31,322,2
2004-06-30,325,2
2004-07-30,325,2
2004-08-31,335,2
2004-09-30,335,2
2004-10-29,335,2
2004-11-30,341,2
2004-12-31,320,2
2005-01-31,324,2
2005-02-28,328,2
2005-03-31,329,2
2005-04-29,338,2
2005-05-31,336,2
2005-06-30,361,2
2005-07-29,353,2
2005-08-31,352,2
2005-09-30,393,2
2005-10-31,393,2
2005-11-30,420,2
2005-12-30,435,2
2006-01-31,468,2
2006-02-28,466,2
2006-03-31,481,2
2006-04-28,511,2
2006-05-31,508,2
2006-06-30,480,2
2006-07-31,496,2
2006-08-31,487,2
2006-09-29,473,2
2006-10-31,473,2
2006-11-30,488,2
2006-12-29,479,2
2007-01-31,501,2
2007-02-28,503,2
2007-03-30,497,2
2007-04-30,496,2
2007-05-31,490,2
2007-06-29,482,2
2007-07-31,486,2
2007-08-31,493,2
2007-09-28,522,2
2007-10-31,546,2
2007-11-30,534,2
2007-12-31,570,2
2008-01-31,624,2
2008-02-29,640,2
2008-03-31,589,2
2008-04-30,559,2
2008-05-30,570,2
2008-06-30,590,2
2008-07-31,588,2
2008-08-29,566,2
2008-09-30,630,2
2008-10-31,576,2
2008-11-28,642,2
2008-12-31,626,2
2009-01-30,718,2
2009-02-27,750,2
2009-03-31,690,2
2009-04-30,667,2
2009-05-29,689,2
2009-06-30,666,2
2009-07-31,662,2
2009-08-31,666,2
2009-09-30,681,2
2009-10-30,705,2
2009-11-30,783,2
2009-12-31,758,2
2010-01-29,776,2
2010-02-26,812,2
2010-03-31,824,2
2010-04-30,887,2
2010-05-31,984,2
2010-06-30,1016,2
2010-07-30,897,2
2010-08-31,980,2
2010-09-30,957,2
2010-10-29,969,2
2010-11-30,1063,2
2010-12-31,1048,2
2011-01-31,968,2
2011-02-28,1022,2
2011-03-31,1014,2
2011-04-29,1035,2
2011-05-31,1069,2
2011-06-30,1038,2
2011-07-29,1133,2
2011-08-31,1260,2
2011-09-30,1207,2
2011-10-31,1235,2
2011-11-30,1297,2
2011-12-30,1179,2
2012-01-31,1332,2
2012-02-29,1323,2
2012-03-30,1248,2
2012-04-30,1248,2
2012-05-31,1260,2
2012-06-29,1260,2
2012-07-31,1317,2
2012-08-31,1308,2
2012-09-28,1380,2
2012-10-31,1327,2
2012-11-30,1327,2
2012-12-31,1257,2
2013-01-31,1226,2
2013-02-28,1215,2
2013-03-29,1245,2
2013-04-30,1114,2
2013-05-31,1076,2
2013-06-28,917,2
2013-07-31,990,2
2013-08-30,1058,2
2013-09-30,980,2
2013-10-31,974,2
2013-11-29,920,2
2013-12-31,874,2
2014-01-31,928,2
2014-02-28,960,2
2014-03-31,937,2
2014-04-30,929,2
2014-05-30,916,2
2014-06-30,960,2
2014-07-31,961,2
2014-08-29,976,2
2014-09-30,963,2
2014-10-31,929,2
2014-11-28,949,2
2014-12-31,997,2
2015-01-30,1117,2
2015-02-27,1082,2
2015-03-31,1105,2
2015-04-30,1053,2
2015-05-29,1087,2
2015-06-30,1051,2
2015-07-31,994,2
2015-08-31,1013,2
2015-09-30,998,2
2015-10-30,1034,2
2015-11-30,1005,2
2015-12-31,976,2
2016-01-29,1027,2
2001-01-31,181,3
2001-02-28,185,3
2001-03-30,181,3
2001-04-30,184,3
2001-05-31,188,3
2001-06-29,192,3
2001-07-31,187,3
2001-08-31,188,3
2001-09-28,199,3
2001-10-31,192,3
2001-11-30,193,3
2001-12-31,190,3
2002-01-31,200,3
2002-02-28,210,3
2002-03-29,212,3
2002-04-30,211,3
2002-05-31,223,3
2002-06-28,209,3
2002-07-31,195,3
2002-08-30,202,3
2002-09-30,206,3
2002-10-31,203,3
2002-11-29,205,3
2002-12-31,216,3
2003-01-31,224,3
2003-02-28,221,3
2003-03-31,212,3
2003-04-30,211,3
2003-05-30,221,3
2003-06-30,210,3
2003-07-31,221,3
2003-08-29,237,3
2003-09-30,234,3
2003-10-31,228,3
2003-11-28,232,3
2003-12-31,233,3
2004-01-30,220,3
2004-02-27,213,3
2004-03-31,231,3
2004-04-30,219,3
2004-05-31,214,3
2004-06-30,218,3
2004-07-30,215,3
2004-08-31,226,3
2004-09-30,230,3
2004-10-29,232,3
2004-11-30,237,3
2004-12-31,227,3
2005-01-31,224,3
2005-02-28,226,3
2005-03-31,226,3
2005-04-29,228,3
2005-05-31,227,3
2005-06-30,244,3
2005-07-29,244,3
2005-08-31,241,3
2005-09-30,268,3
2005-10-31,266,3
2005-11-30,286,3
2005-12-30,299,3
2006-01-31,320,3
2006-02-28,317,3
2006-03-31,336,3
2006-04-28,354,3
2006-05-31,349,3
2006-06-30,332,3
2006-07-31,339,3
2006-08-31,328,3
2006-09-29,321,3
2006-10-31,317,3
2006-11-30,329,3
2006-12-29,323,3
2007-01-31,332,3
2007-02-28,339,3
2007-03-30,337,3
2007-04-30,339,3
2007-05-31,333,3
2007-06-29,324,3
2007-07-31,328,3
2007-08-31,333,3
2007-09-28,365,3
2007-10-31,380,3
2007-11-30,381,3
2007-12-31,419,3
2008-01-31,464,3
2008-02-29,488,3
2008-03-31,470,3
2008-04-30,440,3
2008-05-30,448,3
2008-06-30,467,3
2008-07-31,463,3
2008-08-29,457,3
2008-09-30,496,3
2008-10-31,452,3
2008-11-28,531,3
2008-12-31,605,3
2009-01-30,638,3
2009-02-27,668,3
2009-03-31,639,3
2009-04-30,596,3
2009-05-29,605,3
2009-06-30,567,3
2009-07-31,566,3
2009-08-31,586,3
2009-09-30,623,3
2009-10-30,631,3
2009-11-30,716,3
2009-12-31,673,3
2010-01-29,673,3
2010-02-26,728,3
2010-03-31,735,3
2010-04-30,770,3
2010-05-31,831,3
2010-06-30,832,3
2010-07-30,746,3
2010-08-31,811,3
2010-09-30,829,3
2010-10-29,842,3
2010-11-30,888,3
2010-12-31,898,3
2011-01-31,828,3
2011-02-28,868,3
2011-03-31,898,3
2011-04-29,921,3
2011-05-31,934,3
2011-06-30,938,3
2011-07-29,992,3
2011-08-31,1114,3
2011-09-30,1040,3
2011-10-31,1067,3
2011-11-30,1110,3
2011-12-30,985,3
2012-01-31,1105,3
2012-02-29,1108,3
2012-03-30,1041,3
2012-04-30,1017,3
2012-05-31,1012,3
2012-06-29,1019,3
2012-07-31,1035,3
2012-08-31,1038,3
2012-09-28,1100,3
2012-10-31,1067,3
2012-11-30,1077,3
2012-12-31,1020,3
2013-01-31,1050,3
2013-02-28,1046,3
2013-03-29,1053,3
2013-04-30,944,3
2013-05-31,920,3
2013-06-28,786,3
2013-07-31,867,3
2013-08-30,902,3
2013-09-30,819,3
2013-10-31,824,3
2013-11-29,765,3
2013-12-31,727,3
2014-01-31,761,3
2014-02-28,792,3
2014-03-31,775,3
2014-04-30,763,3
2014-05-30,746,3
2014-06-30,769,3
2014-07-31,761,3
2014-08-29,774,3
2014-09-30,750,3
2014-10-31,728,3
2014-11-28,755,3
2014-12-31,773,3
2015-01-30,839,3
2015-02-27,786,3
2015-03-31,800,3
2015-04-30,768,3
2015-05-29,781,3
2015-06-30,745,3
2015-07-31,704,3
2015-08-31,738,3
2015-09-30,735,3
2015-10-30,740,3
2015-11-30,705,3
2015-12-31,719,3
2016-01-29,784,3
